CUST_NAME,Gender_Code,ADDRESS1,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,ADDRESS2,EMAIL_ADDRESS,PHONE_NUMBER,CREDITCARD_TYPE,LOCALITY,SALESMAN_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,DRIVER_LICENSE,CUST_ID,ORDER_ID,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE,AGE,ORDER_VALUE,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Baby Food,Diapers,Formula,Lotion,Baby wash,Wipes,Fresh Fruits,Fresh Vegetables,Beer,Wine,Club Soda,Sports Drink,Chips,Popcorn,Oatmeal,Medicines,Canned Foods,Cigarettes,Cheese,Cleaning Products,Condiments,Frozen Foods,Kitchen Items,Meat,Office Supplies,Personal Care,Pet Supplies,Sea Food,Spices,,,,,,,,,,
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.18E+15,,10003,1106,00:00.0,29:06.2,29.79,NC298 ,00:00.0,27/Jul/2016,27,134.24,Complete,Phone,Frequent,MediumValue,Gen_Y,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.15E+15,,10003,2948,00:00.0,13:54.6,17.87,SW277 ,00:00.0,27/Mar/2016,27,53.4,Abandoned,Phone,Frequent,MediumValue,Gen_Y,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.17E+15,,10003,3323,00:00.0,39:06.2,31.88,NC160 ,00:00.0,27/Sep/2016,27,26.25,Complete,Desktop,Frequent,LowValue,Gen_Y,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.16E+15,,10003,7498,00:00.0,19:56.1,18.45,SW409 ,00:00.0,1/Mar/2016,27,5.65,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.14E+15,,10003,7973,00:00.0,07:36.4,23.12,WE352 ,00:00.0,4/Jan/2016,27,44.43,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.12E+15,,10003,9107,00:00.0,07:36.4,22.77,NW379 ,00:00.0,3/Jan/2016,27,24.18,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthony Whitney     ,Mr.,518 Highland    View      Drive,Achstetten,,DE,88480,0,,Anthony.H.Whitney@pookmail.com,03571 39 94 30,VISA,,WE349 ,IT,NXFXLA90D69D741G,4.47E+15,,10007,7441,00:00.0,39:06.2,11.05,SC130 ,00:00.0,27/Feb/2016,NA,65.8,Complete,Desktop,FirstTime,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.66E+15,,10015,627,47:25.0,47:25.4,6.37,NC163 ,47:25.0,8/May/2016,60,40.34,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.02E+15,,10015,1209,00:00.0,43:54.6,23.37,SW340 ,00:00.0,27/Feb/2016,60,18.81,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.56E+15,,10015,1556,00:00.0,36:44.9,19.81,NW310 ,00:00.0,5/Oct/2016,60,34.04,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
